population,condition,condition_label,render_mode,running,start_organisms,end_organisms,fps,long_task_count,gc_count,totalFrame_avg_ms,totalFrame_p50_ms,totalFrame_p95_ms,totalFrame_max_ms,totalFrame_calls_per_frame,simulationUpdate_avg_ms,simulationUpdate_p50_ms,simulationUpdate_p95_ms,simulationUpdate_max_ms,simulationUpdate_calls_per_frame,drawTotal_avg_ms,drawTotal_p50_ms,drawTotal_p95_ms,drawTotal_max_ms,drawTotal_calls_per_frame,organismUpdate_avg_ms,organismUpdate_p50_ms,organismUpdate_p95_ms,organismUpdate_max_ms,organismUpdate_calls_per_frame,spatialIndex_avg_ms,spatialIndex_p50_ms,spatialIndex_p95_ms,spatialIndex_max_ms,spatialIndex_calls_per_frame,foodSearch_avg_ms,foodSearch_p50_ms,foodSearch_p95_ms,foodSearch_max_ms,foodSearch_calls_per_frame,carcassSearch_avg_ms,carcassSearch_p50_ms,carcassSearch_p95_ms,carcassSearch_max_ms,carcassSearch_calls_per_frame,planktonSearch_avg_ms,planktonSearch_p50_ms,planktonSearch_p95_ms,planktonSearch_max_ms,planktonSearch_calls_per_frame,targetLookup_avg_ms,targetLookup_p50_ms,targetLookup_p95_ms,targetLookup_max_ms,targetLookup_calls_per_frame,reproduction_avg_ms,reproduction_p50_ms,reproduction_p95_ms,reproduction_max_ms,reproduction_calls_per_frame,predation_avg_ms,predation_p50_ms,predation_p95_ms,predation_max_ms,predation_calls_per_frame,deathRemoval_avg_ms,deathRemoval_p50_ms,deathRemoval_p95_ms,deathRemoval_max_ms,deathRemoval_calls_per_frame,telemetryStatistics_avg_ms,telemetryStatistics_p50_ms,telemetryStatistics_p95_ms,telemetryStatistics_max_ms,telemetryStatistics_calls_per_frame,trailHistory_avg_ms,trailHistory_p50_ms,trailHistory_p95_ms,trailHistory_max_ms,trailHistory_calls_per_frame,environmentDraw_avg_ms,environmentDraw_p50_ms,environmentDraw_p95_ms,environmentDraw_max_ms,environmentDraw_calls_per_frame,organismDraw_avg_ms,organismDraw_p50_ms,organismDraw_p95_ms,organismDraw_max_ms,organismDraw_calls_per_frame,resourceDraw_avg_ms,resourceDraw_p50_ms,resourceDraw_p95_ms,resourceDraw_max_ms,resourceDraw_calls_per_frame,effectsDraw_avg_ms,effectsDraw_p50_ms,effectsDraw_p95_ms,effectsDraw_max_ms,effectsDraw_calls_per_frame,uiHudDraw_avg_ms,uiHudDraw_p50_ms,uiHudDraw_p95_ms,uiHudDraw_max_ms,uiHudDraw_calls_per_frame,otherUpdate_avg_ms,otherUpdate_p50_ms,otherUpdate_p95_ms,otherUpdate_max_ms,otherUpdate_calls_per_frame,otherDraw_avg_ms,otherDraw_p50_ms,otherDraw_p95_ms,otherDraw_max_ms,otherDraw_calls_per_frame,errors
200,A,通常描画・実行中,full,true,200,200,12.000331043614997,27,0,83.33103448275861,83.30000000000018,100.10000000000036,116.69999999999982,0.9655172413793104,8.78620689696279,8.199999988079071,15.600000023841858,25.600000023841858,0.9655172413793104,37.131034483169685,37.299999952316284,49.19999998807907,50.19999998807907,1,7.755172408860306,7.399999976158142,13,22.899999976158142,193.10344827586206,0.10000000123319955,0.10000002384185791,0.20000004768371582,0.20000004768371582,0.9655172413793104,0.7333333690961202,0.40000009536743164,1.3999999165534973,1.3999999165534973,400,0.06666666269302368,0,0.19999998807907104,0.19999998807907104,400,0.06666666269302368,0,0.19999998807907104,0.19999998807907104,30,0,0,0,0,0,0.7333333094914755,0.7000000476837158,1.0999999046325684,1.0999999046325684,200,1.2999999523162842,1.3999998569488525,1.699999988079071,1.699999988079071,400,0.014285715562956674,0,0.10000002384185791,0.19999998807907104,22.428571428571427,0.4071428562913622,0.3999999761581421,0.6000000238418579,1.100000023841858,11,0.09999998410542806,0.09999996423721313,0.10000002384185791,0.10000002384185791,200,27.01379309234948,27.599999964237213,34.299999952316284,37.19999998807907,2,9.355172416259503,8.800000011920929,15.100000023841858,18.700000047683716,200,0.36896552094097795,0.3999999761581421,0.6000000238418579,0.699999988079071,77.62068965517241,0.006896549257738837,0,0.09999996423721313,0.09999996423721313,1,0.34137931157802714,0.19999998807907104,1.199999988079071,3.399999976158142,3,0.18620690189558883,0.10000002384185791,0.40000003576278687,1.2000000476837158,0,0.05862069541010363,0,0.20000004768371582,0.20000004768371582,0,
200,B,軽量描画・実行中,tiny,true,200,200,13.007174925523435,29,0,76.88064516129032,83.29999999999973,100.09999999999945,116.60000000000036,0.967741935483871,10.070967737705477,9.5,14.400000035762787,28,0.967741935483871,25.622580639777645,24.80000001192093,36.30000001192093,42.10000002384186,1,8.906451623285971,8.600000023841858,13.5,24.19999998807907,193.5483870967742,0.11935482678874847,0.09999996423721313,0.19999998807907104,0.699999988079071,0.967741935483871,0.29999999205271405,0.20000004768371582,0.6999999284744263,0.6999999284744263,400,0.0333333412806193,0,0.10000002384185791,0.10000002384185791,400,0,0,0,0,30,0,0,0,0,0,0.666666587193807,0.6999998688697815,0.6999999284744263,0.6999999284744263,200,1.599999984105428,1.5999999642372131,2.400000035762787,2.400000035762787,400,0.02999999721844991,0,0.19999998807907104,0.19999998807907104,21,0.576666671037674,0.5,1.4000000357627869,1.6999999284744263,11,0.0333333412806193,0,0.10000002384185791,0.10000002384185791,200,14.767741928177495,14.300000011920929,21.30000001192093,22.80000001192093,2,9.83548387404411,9.199999988079071,14.899999976158142,18.19999998807907,200,0.5935483920958734,0.40000003576278687,2.399999976158142,3.099999964237213,77.64516129032258,0.003225805297974617,0,0,0.09999996423721313,1,0.3741935395425366,0.19999998807907104,1.2999999523162842,4,3,0.170967738474569,0.10000002384185791,0.3999999761581421,1.2000001072883606,0,0.0645161348004495,0,0.20000004768371582,0.20000004768371582,0,
200,C,通常描画・一時停止中,full,false,200,200,20.834201425059373,17,0,47.99800000000001,50,66.70000000000027,66.70000000000073,0.98,0.0020000004768371583,0,0,0.10000002384185791,0,3.174000006914139,2.800000011920929,5.100000023841858,7.199999988079071,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.44399999737739565,0.40000003576278687,0.7000000476837158,0.800000011920929,2,2.0219999980926513,1.699999988079071,3.5,5.399999976158142,200,0.5060000014305115,0.5,0.800000011920929,0.9000000357627869,82,0.007999998331069947,0,0.09999996423721313,0.19999992847442627,1,0.15000001072883606,0.10000002384185791,0.30000007152557373,0.6000000238418579,3,0.0020000004768371583,0,0,0.10000002384185791,0,0.050000003576278686,0,0.19999998807907104,0.30000001192092896,0,
200,D,軽量描画・一時停止中,tiny,false,200,200,19.722210566069407,23,0,50.704255319148935,50,66.69999999999982,66.70000000000027,0.9787234042553191,0,0,0,0,0,10.676595741129937,10.100000023841858,14.900000035762787,15.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4638297849513115,0.3999999761581421,0.699999988079071,2.899999976158142,2,9.589361701874022,8.900000035762787,13.399999976158142,14,200,0.4489361694518556,0.3999999761581421,0.800000011920929,1.0999999642372131,82,0.006382980245224973,0,0.10000002384185791,0.10000002384185791,1,0.12340425557278573,0.10000002384185791,0.30000001192092896,0.3999999761581421,3,0,0,0,0,0,0.0510638305481444,0.09999996423721313,0.10000002384185791,0.10000002384185791,0,
500,A,通常描画・実行中,full,true,500,500,5.637886597938143,15,0,177.3714285714286,200,233.4000000000001,233.4000000000001,0.9285714285714286,28.450000000851496,29.69999998807907,51.39999997615814,51.39999997615814,0.9285714285714286,68.71428571428571,72.80000001192093,92.89999997615814,92.89999997615814,1,27.135714292526245,28.399999976158142,47.69999998807907,47.69999998807907,464.2857142857143,0.25714286310332163,0.20000004768371582,0.5,0.5,0.9285714285714286,2,2,2,2,1000,0.19999992847442627,0.19999992847442627,0.19999992847442627,0.19999992847442627,1000,0.19999998807907104,0.19999998807907104,0.19999998807907104,0.19999998807907104,72,0,0,0,0,0,2.599999785423279,2.599999785423279,2.599999785423279,2.599999785423279,500,6.800000011920929,6.800000011920929,6.800000011920929,6.800000011920929,1000,0.04615384798783522,0,0.19999998807907104,0.19999998807907104,39.46153846153846,0.8538461510951703,0.7000000476837158,1.800000011920929,1.800000011920929,11,0.3999999761581421,0.3999999761581421,0.3999999761581421,0.3999999761581421,500,37.30000001192093,39,55.90000003576279,55.90000003576279,2,30.37142857483455,30.600000023841858,46.799999952316284,46.799999952316284,500,0.3928571343421936,0.3999999761581421,0.699999988079071,0.699999988079071,72.28571428571429,0.007142854588372367,0,0.09999996423721313,0.09999996423721313,1,0.685714283159801,0.19999998807907104,5.600000023841858,5.600000023841858,3,0.22857141494750977,0.09999996423721313,1.199999988079071,1.199999988079071,0,0.0500000034059797,0,0.19999998807907104,0.19999998807907104,0,
500,B,軽量描画・実行中,tiny,true,500,500,6.892357591729171,18,0,145.08823529411765,166.59999999999945,200,200,0.9411764705882353,28.83529411694583,27.19999998807907,52.90000003576279,52.90000003576279,0.9411764705882353,44.58235294678632,44.40000003576279,66,66,1,26.494117652668674,25.80000001192093,49.30000001192093,49.30000001192093,470.5882352941176,0.30588235223994537,0.30000001192092896,0.5999999642372131,0.5999999642372131,0.9411764705882353,1.1000000536441803,1.0999999642372131,1.1000001430511475,1.1000001430511475,1000,0.5000000298023224,0.20000004768371582,0.800000011920929,0.800000011920929,1000,0.19999998807907104,0,0.3999999761581421,0.3999999761581421,72,0,0,0,0,0,1.8999999463558197,0.8999999165534973,2.899999976158142,2.899999976158142,500,6.350000083446503,4.100000083446503,8.600000083446503,8.600000083446503,1000,0.0624999962747097,0,0.19999998807907104,0.19999998807907104,63.5,1.0000000037252903,0.9000000357627869,1.699999988079071,1.699999988079071,11,0.3500000238418579,0.30000001192092896,0.40000003576278687,0.40000003576278687,500,17.83529412395814,18.19999998807907,28.899999976158142,28.899999976158142,2,25.735294117647058,25,36.5,36.5,500,0.43529410923228545,0.3999999761581421,0.8999999761581421,0.8999999761581421,71.70588235294117,0,0,0,0,1,0.5764705924426808,0.20000004768371582,5,5,3,0.25294117366566377,0.10000002384185791,1.2000000476837158,1.2000000476837158,0,0.052941175068126005,0,0.19999998807907104,0.19999998807907104,0,
500,C,通常描画・一時停止中,full,false,500,500,10.213200561726033,25,0,97.91249999999998,83.40000000000009,133.30000000000018,133.30000000000018,0.9583333333333334,0,0,0,0,0,5.7749999935428304,5.399999976158142,8.5,9.699999988079071,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4708333338300387,0.40000003576278687,0.7999999523162842,0.8999999761581421,2,4.583333330849807,4.100000023841858,7.199999988079071,7.899999976158142,500,0.47499999155600864,0.5,0.699999988079071,0.699999988079071,82,0.00833333283662796,0,0.09999996423721313,0.10000002384185791,1,0.23333333681027094,0.19999998807907104,0.6000000238418579,0.6000000834465027,3,0,0,0,0,0,0.05000000447034836,0,0.20000004768371582,0.30000007152557373,0,
500,D,軽量描画・一時停止中,tiny,false,500,500,10.489657198002769,25,0,95.33200000000001,99.90000000000009,116.70000000000027,133.40000000000055,0.96,0.003999998569488525,0,0,0.09999996423721313,0,23.435999994277953,23.100000023841858,31,31.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.45600000143051145,0.40000003576278687,0.7000000476837158,0.800000011920929,2,22.34000000476837,21.899999976158142,29.5,30.599999964237213,500,0.42799999952316287,0.3999999761581421,0.699999988079071,0.800000011920929,82,0.00799999713897705,0,0.09999996423721313,0.09999996423721313,1,0.21199999809265135,0.19999998807907104,0.5,0.6000000238418579,3,0.003999998569488525,0,0,0.09999996423721313,0,0.03599999666213989,0,0.10000002384185791,0.10000002384185791,0,
1000,A,通常描画・実行中,full,true,1000,1000,3.6092939318745776,8,0,277.06249999999994,299.89999999999964,400.10000000000036,400.10000000000036,0.875,63.88749998807907,68.60000002384186,92.30000001192093,92.30000001192093,0.875,91.80000001192093,83.10000002384186,126.5,126.5,1,60.9375,66,86.60000002384186,86.60000002384186,875,0.5999999940395355,0.40000003576278687,2,2,0.875,0.7999998927116394,0.7999998927116394,0.7999998927116394,0.7999998927116394,2000,1.0999999046325684,1.0999999046325684,1.0999999046325684,1.0999999046325684,2000,2.0000001192092896,2.0000001192092896,2.0000001192092896,2.0000001192092896,148,0,0,0,0,0,5,5,5,5,1000,19.800000309944153,19.800000309944153,19.800000309944153,19.800000309944153,2000,0.07142857994352068,0.10000002384185791,0.19999998807907104,0.19999998807907104,143.85714285714286,2.1285714166504994,2.099999964237213,3.699999988079071,3.699999988079071,11,1,1,1,1,1000,39.9750000089407,42.5,59,59,2,51.0625,45.89999997615814,72.30000001192093,72.30000001192093,1000,0.36249999701976776,0.30000001192092896,0.5,0.5,67.375,0.012500002980232239,0,0.10000002384185791,0.10000002384185791,1,0.4625000059604645,0.30000001192092896,1,1,3,0.42499999701976776,0.19999998807907104,1.5,1.5,0,0.05000000447034836,0,0.20000004768371582,0.20000004768371582,0,
1000,B,軽量描画・実行中,tiny,true,1000,1000,4.030091348737238,9,0,248.13333333333333,283.4000000000001,333.3000000000002,333.3000000000002,0.8888888888888888,65.0333333214124,68.89999997615814,108.5,108.5,0.8888888888888888,72.77777778440051,73.19999998807907,99.5,99.5,1,62.25555557012558,65.19999998807907,102.10000002384186,102.10000002384186,888.8888888888889,0.4888889061080085,0.40000003576278687,1.5,1.5,0.8888888888888888,1.2999999523162842,1.2999999523162842,1.2999999523162842,1.2999999523162842,2000,0.9000000357627869,0.9000000357627869,0.9000000357627869,0.9000000357627869,2000,0.6999998092651367,0.6999998092651367,0.6999998092651367,0.6999998092651367,148,0,0,0,0,0,4.399999976158142,4.399999976158142,4.399999976158142,4.399999976158142,1000,18.99999976158142,18.99999976158142,18.99999976158142,18.99999976158142,2000,0.10000000894069672,0,0.40000009536743164,0.40000009536743164,126,2.0374999716877937,1.899999976158142,3,3,11,0.7999998927116394,0.7999998927116394,0.7999998927116394,0.7999998927116394,1000,20.711111121707493,19.5,37.69999998807907,37.69999998807907,2,50.93333334392972,50.60000002384186,67,67,1000,0.7555555568801032,0.5,3.100000023841858,3.100000023841858,67,0.011111107137468126,0,0.09999996423721313,0.09999996423721313,1,0.5333333214124044,0.5,1,1,3,0.42222220367855495,0.30000001192092896,1.699999988079071,1.699999988079071,0,0.02222222089767456,0,0.19999998807907104,0.19999998807907104,0,
