seed,step,frame,population,packs,hunt_pack_organisms,species,established_lineages
43001,9000,9000,425,0,0,6,64
43001,9200,9200,692,0,0,6,65
43001,9400,9400,1021,0,0,6,67
43001,9600,9600,1175,0,0,8,67
43001,9800,9800,972,0,0,8,69
43001,10000,10000,466,0,0,8,69
43001,10200,10200,108,0,0,5,69
43001,10400,10400,17,0,0,4,69
43001,10600,10600,5,0,0,2,69
43001,10800,10800,4,0,0,2,69
43001,11000,11000,4,0,0,2,69
43001,11200,11200,3,0,0,2,69
43001,11400,11400,3,0,0,2,69
43001,11600,11600,3,0,0,2,69
43001,11800,11800,3,0,0,2,69
43001,12000,12000,4,0,0,2,69
43001,12200,12200,5,0,0,2,69
43001,12400,12400,9,0,0,3,69
43001,12600,12600,17,0,0,4,69
43001,12800,12800,33,0,0,4,69
43001,13000,13000,66,0,0,5,70
43001,13200,13200,139,0,0,5,70
43001,13400,13400,240,0,0,6,71
43001,13600,13600,433,0,0,8,71
43001,13800,13800,676,0,0,8,72
43001,14000,14000,933,0,0,9,74
43001,14200,14200,1062,0,0,9,74
43001,14400,14400,903,0,0,8,77
43001,14600,14600,528,0,0,5,77
43001,14800,14800,217,0,0,4,77
43001,15000,15000,73,0,0,4,77
43001,15200,15200,22,0,0,3,77
43001,15400,15400,7,0,0,3,77
43001,15600,15600,4,0,0,2,77
43001,15800,15800,1,0,0,1,77
43001,16000,16000,1,0,0,1,77
43001,16200,16200,1,0,0,1,77
43001,16400,16400,1,0,0,1,77
43001,16600,16600,1,0,0,1,77
43001,16800,16800,1,0,0,1,77
43001,17000,17000,1,0,0,1,77
43001,17200,17200,1,0,0,1,77
43001,17400,17400,1,0,0,1,77
43001,17600,17600,2,0,0,2,77
43001,17800,17800,3,0,0,3,77
43001,18000,18000,7,0,0,3,77
43001,18200,18200,13,0,0,4,77
43001,18400,18400,27,0,0,4,78
43001,18600,18600,66,0,0,4,78
43001,18800,18800,142,0,0,5,79
43001,19000,19000,315,0,0,5,79
43001,19200,19200,619,0,0,6,79
43001,19400,19400,1066,0,0,6,83
43001,19600,19600,1518,0,0,7,89
43001,19800,19800,1829,0,0,7,92
43001,20000,20000,1962,0,0,7,93
45001,0,0,64,0,3,62,62
45001,200,200,50,0,3,46,62
45001,400,400,30,0,0,23,62
45001,600,600,35,0,0,20,62
45001,800,800,39,0,0,16,62
45001,1000,1000,54,0,0,18,62
45001,1200,1200,88,0,0,19,63
45001,1400,1400,132,0,0,23,63
45001,1600,1600,224,0,0,25,63
45001,1800,1800,316,0,0,28,64
45001,2000,2000,474,0,0,34,64
45001,2200,2200,605,0,0,33,64
45001,2400,2400,713,0,0,38,64
45001,2600,2600,703,0,0,36,64
45001,2800,2800,482,0,0,29,64
45001,3000,3000,251,0,0,24,64
45001,3200,3200,149,0,0,21,64
45001,3400,3400,90,0,0,18,64
45001,3600,3600,58,0,0,18,64
45001,3800,3800,40,0,0,16,64
45001,4000,4000,33,0,0,12,64
45001,4200,4200,28,0,0,9,64
45001,4400,4400,34,0,0,10,64
45001,4600,4600,42,0,0,11,64
45001,4800,4800,72,0,0,13,64
45001,5000,5000,95,0,0,13,64
45001,5200,5200,105,0,0,14,64
45001,5400,5400,119,0,0,14,64
45001,5600,5600,123,0,0,14,64
45001,5800,5800,115,0,0,15,64
45001,6000,6000,99,0,0,14,64
45001,6200,6200,68,0,0,11,64
45001,6400,6400,55,0,0,12,64
45001,6600,6600,49,0,0,12,64
45001,6800,6800,47,0,0,13,64
45001,7000,7000,46,0,0,12,64
45001,7200,7200,46,0,0,11,64
45001,7400,7400,46,0,0,11,64
45001,7600,7600,48,0,0,11,64
45001,7800,7800,49,0,0,11,64
45001,8000,8000,49,0,0,11,64
45001,8200,8200,52,0,0,12,64
45001,8400,8400,70,0,0,13,65
45001,8600,8600,114,0,0,14,65
45001,8800,8800,204,0,0,16,65
45001,9000,9000,384,0,0,18,66
45001,9200,9200,657,0,0,20,68
45001,9400,9400,905,0,0,23,70
45001,9600,9600,937,0,0,23,71
45001,9800,9800,526,0,0,22,71
45001,10000,10000,154,0,0,16,71
45001,10200,10200,46,0,0,11,71
45001,10400,10400,22,0,0,8,71
45001,10600,10600,14,0,0,6,71
45001,10800,10800,12,0,0,6,71
45001,11000,11000,14,0,0,6,71
45001,11200,11200,13,0,0,4,71
45001,11400,11400,16,0,0,4,72
45001,11600,11600,17,0,0,4,72
45001,11800,11800,19,0,0,4,72
45001,12000,12000,23,0,0,4,73
45001,12200,12200,35,0,0,5,73
45001,12400,12400,62,0,0,8,73
45001,12600,12600,120,0,0,10,73
45001,12800,12800,227,0,0,16,74
45001,13000,13000,387,0,0,19,74
45001,13200,13200,597,0,0,21,76
45001,13400,13400,790,0,0,23,76
45001,13600,13600,775,0,0,22,78
45001,13800,13800,431,0,0,19,78
45001,14000,14000,174,0,0,17,78
45001,14200,14200,80,0,0,10,78
45001,14400,14400,33,0,0,6,78
45001,14600,14600,23,0,0,4,78
45001,14800,14800,14,0,0,3,78
45001,15000,15000,9,0,0,3,78
45001,15200,15200,7,0,0,3,78
45001,15400,15400,6,0,0,3,78
45001,15600,15600,3,0,0,3,78
45001,15800,15800,3,0,0,3,78
45001,16000,16000,3,0,0,3,78
45001,16200,16200,3,0,0,3,78
45001,16400,16400,3,0,0,3,78
45001,16600,16600,3,0,0,3,78
45001,16800,16800,3,0,0,3,78
45001,17000,17000,3,0,0,3,78
45001,17200,17200,3,0,0,3,78
45001,17400,17400,3,0,0,3,78
45001,17600,17600,6,0,0,4,78
45001,17800,17800,17,0,0,6,78
45001,18000,18000,43,0,0,7,78
45001,18200,18200,112,0,0,7,79
45001,18400,18400,234,0,0,10,84
45001,18600,18600,474,0,0,10,85
45001,18800,18800,808,0,0,12,90
45001,19000,19000,999,0,0,12,94
45001,19200,19200,805,0,0,12,94
45001,19400,19400,370,0,0,9,94
45001,19600,19600,159,0,0,7,94
45001,19800,19800,69,0,0,6,94
45001,20000,20000,29,0,0,6,94
